,Environmental Responsibility,/about/environment/
,Manifesto,/about/manifesto/
,Mission and Vision,/about/mission/
,Open data and software,/about/open-source/
,Organizational Transparency,/about/transparency/
,Viable Industries is a cause-driven digital creative studio,/about/
,Articles,/resources/viable/
,Articles,/resources/
,The easiest way to keep an eye on our oil and gas activity,/case-studies/fractracker-mobile-app/
,Harbor Alert,/case-studies/harbor-alert/
,Identifying areas in need of restoration,/case-studies/water-reporter/back-story/
,2013 Technology Impact Award Winner,/case-studies/water-reporter/press/
,Water Reporter,/case-studies/water-reporter/
,A showcase of our work,/case-studies/
,,/content-strategy-audit.csv
,Crowdsourced, Mobile, and Field Data Collection,/expertise/data-collection/
,Cloud data management on your infrastructure,/expertise/enterprise/
,Information Transparency,/expertise/information-transparency/
,Public Engagement and Sharing Knowledge,/expertise/public-engagement/
,We answer questions with thoughtfully designed analytics,/expertise/visualization/
,What others say weâ€™re great at,/expertise/
,,/feed.xml
1.0.0,,/index.html
,Who we partner with and serve,/industries/
,Privacy Policy,/legal/privacy-policy/
,Terms and Conditions of Use,/legal/terms/
,We build custom restful APIs,/solutions/api/
,We manage and analyze your data,/solutions/data/
,We apply geography to your data,/solutions/gis/
,We build iOS and Android apps,/solutions/mobile/
,We build web applications,/solutions/web/
,Solutions,/solutions/
,VI Website Style Guidelines,/style-guide/
